Date,Adj Close,Rtn,Scaled rtns,,Mean,-4.84162E-05,,,Count,4976
2004/4/19,1.807109,0.006017369,1.005344803,,4.776736752,4.684335618,0,0,6.85564E-06,
2004/4/20,1.7853,-0.012068447,-1.992203047,,4.96153902,4.869137886,3,0.003262373,2.83579E-06,
2004/4/21,1.769504,-0.008847813,-1.458414219,,5.146341288,5.053940154,1,0.001087458,1.13362E-06,
2004/4/22,1.775285,0.003267017,0.549500785,,5.331143557,5.238742423,0,0,4.37955E-07,
2004/4/23,1.773207,-0.001170516,-0.185977149,,5.515945825,5.423544691,0,0,1.63516E-07,
2004/4/26,1.786001,0.007215176,1.20386958,,5.700748094,5.608346959,0,0,5.90007E-08,
2004/4/27,1.79189,0.003297311,0.554521619,,5.885550362,5.793149228,1,0.001087458,2.05742E-08,
2004/4/28,1.771009,-0.011653059,-1.92335647,,6.07035263,5.977951496,0,0,6.93357E-09,
2004/4/29,1.773396,0.001347819,0.231412425,,6.255154899,6.162753764,0,0,2.25818E-09,
2004/4/30,1.7786,0.002934483,0.494386444,,6.439957167,6.347556033,0,0,7.1077E-10,
2004/5/3,1.771385,-0.004056561,-0.664310995,,6.624759435,6.532358301,0,0,2.16206E-10,
2004/5/4,1.795687,0.013719208,2.281849631,,6.809561704,6.71716057,0,0,6.35584E-11,
2004/5/5,1.790991,-0.002615155,-0.425411954,,6.994363972,6.901962838,0,0,1.80571E-11,
2004/5/6,1.794591,0.00201006,0.341172436,,7.17916624,7.086765106,0,0,4.9578E-12,
2004/5/7,1.789197,-0.003005699,-0.490140767,,7.363968509,7.271567375,0,0,1.31553E-12,
2004/5/10,1.777209,-0.006700212,-1.102470404,,7.548770777,7.456369643,0,0,3.37348E-13,
2004/5/11,1.760315,-0.009505916,-1.567488479,,7.733573045,7.641171911,0,0,8.36034E-14,
2004/5/12,1.772201,0.006752201,1.127135974,,7.918375314,7.82597418,0,0,2.00234E-14,
2004/5/13,1.760315,-0.006706914,-1.103581151,,8.103177582,8.010776448,0,0,4.63468E-15,
2004/5/14,1.758613,-0.000966872,-0.15222516,,8.287979851,8.195578716,0,0,1.03674E-15,
2004/5/17,1.771197,0.007155639,1.194001979,,8.472782119,8.380380985,0,0,2.24124E-16,
2004/5/18,1.766785,-0.002490971,-0.404829617,,8.657584387,8.565183253,0,0,4.68247E-17,
2004/5/19,1.782086,0.008660363,1.44339535,,8.842386656,8.749985521,0,0,9.4543E-18,
2004/5/20,1.775505,-0.003692863,-0.60403159,,9.027188924,8.93478779,0,0,1.84481E-18,
2004/5/21,1.789613,0.007945908,1.324981401,,9.211991192,9.119590058,0,0,3.4789E-19,
2004/5/24,1.791697,0.001164498,0.201028646,,9.396793461,9.304392327,0,0,6.34017E-20,
2004/5/25,1.812513,0.011618036,1.933600755,,9.581595729,9.489194595,0,0,1.11668E-20,
2004/5/26,1.814915,0.001325232,0.227668789,,9.766397997,9.673996863,0,0,1.90074E-21,
2004/5/27,1.836615,0.011956483,1.989695039,,9.951200266,9.858799132,0,0,3.12669E-22,
2004/5/28,1.832912,-0.002016209,-0.326142504,,10.13600253,10.0436014,0,0,4.97067E-23,
2004/5/31,1.83261,-0.000164765,-0.019283697,,10.3208048,10.22840367,0,0,7.63683E-24,
2004/6/1,1.840604,0.004362085,0.73099755,,10.50560707,10.41320594,0,0,1.13391E-24,
2004/6/2,1.83429,-0.003430396,-0.560530137,,10.69040934,10.59800821,0,0,1.6271E-25,
2004/6/3,1.839588,0.002888311,0.486733925,,10.87521161,10.78281047,0,0,2.25641E-26,
2004/6/4,1.838911,-0.000368017,-0.052970743,,,,,,,
2004/6/7,1.841214,0.001252372,0.215592917,,,,,,,
2004/6/8,1.839486,-0.000938511,-0.14752457,,,,,,,
2004/6/9,1.828087,-0.00619684,-1.019041289,,,,,,,
2004/6/10,1.841994,0.007607406,1.268877935,,,,,,,
2004/6/11,1.817785,-0.013142822,-2.170270226,,,,,,,
2004/6/14,1.814191,-0.001977132,-0.319665763,,,,,,,
2004/6/15,1.833584,0.010689613,1.77972374,,,,,,,
2004/6/16,1.825184,-0.004581192,-0.751263383,,,,,,,
2004/6/17,1.834391,0.005044423,0.844088464,,,,,,,
